epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.225,1.08877,2.01895,0.85612,0.97695,0.97672,0.98977,0.78216,0.85319,0.63067,0.81692,0.000664957,0.000664957,0.000664957
2,142.529,0.95107,0.73064,0.83253,0.97906,0.98157,0.99255,0.79161,0.83647,0.4869,0.81774,0.00130526,0.00130526,0.00130526
3,207.625,0.90155,0.55813,0.82453,0.97948,0.9831,0.99417,0.81167,0.80522,0.47611,0.81532,0.00191916,0.00191916,0.00191916
4,275.903,0.84326,0.49951,0.81951,0.97704,0.98071,0.99347,0.85534,0.70386,0.41823,0.80282,0.0018812,0.0018812,0.0018812
5,341.431,0.82191,0.47407,0.8178,0.98063,0.98925,0.99405,0.84633,0.76116,0.42717,0.80457,0.0018416,0.0018416,0.0018416
6,409.999,0.78164,0.44794,0.81145,0.97144,0.99271,0.99372,0.84853,0.70354,0.3966,0.79585,0.001802,0.001802,0.001802
7,479.276,0.75892,0.43453,0.80791,0.9799,0.99078,0.99408,0.85777,0.68453,0.39334,0.79774,0.0017624,0.0017624,0.0017624
8,544.296,0.73183,0.42052,0.80506,0.97371,0.99386,0.99193,0.85927,0.65446,0.38637,0.79269,0.0017228,0.0017228,0.0017228
9,604.863,0.72197,0.40774,0.8044,0.98036,0.98464,0.99332,0.86128,0.69589,0.41995,0.79437,0.0016832,0.0016832,0.0016832
10,666.727,0.69626,0.3963,0.80403,0.98036,0.98618,0.99423,0.86393,0.6246,0.35866,0.78866,0.0016436,0.0016436,0.0016436
11,731.711,0.68061,0.39225,0.7996,0.9814,0.98003,0.99384,0.87767,0.61894,0.36333,0.78632,0.001604,0.001604,0.001604
12,794.471,0.67679,0.37892,0.80306,0.97131,0.99539,0.99398,0.87251,0.6162,0.34847,0.78794,0.0015644,0.0015644,0.0015644
13,855.613,0.66817,0.37704,0.80085,0.9743,0.9898,0.99332,0.88593,0.60641,0.36557,0.78521,0.0015248,0.0015248,0.0015248
14,918.972,0.66492,0.37186,0.79642,0.97591,0.99558,0.99425,0.88475,0.61087,0.34697,0.78637,0.0014852,0.0014852,0.0014852
15,980.694,0.64514,0.36703,0.79813,0.97738,0.99547,0.99433,0.88468,0.58308,0.32554,0.78233,0.0014456,0.0014456,0.0014456
16,1045.58,0.64237,0.36303,0.7963,0.97611,0.98771,0.99346,0.88767,0.58398,0.34051,0.78133,0.001406,0.001406,0.001406
17,1111.56,0.63234,0.35453,0.79397,0.98584,0.98157,0.99334,0.90116,0.55453,0.32413,0.78119,0.0013664,0.0013664,0.0013664
18,1176.24,0.62764,0.34969,0.79439,0.97878,0.99174,0.99389,0.89846,0.55359,0.32039,0.78182,0.0013268,0.0013268,0.0013268
