epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.215,1.14407,1.69247,0.85046,0.9463,0.9445,0.96784,0.70096,0.93901,0.55167,0.81833,0.000666063,0.000666063,0.000666063
2,496.205,1.04457,0.65253,0.83766,0.95044,0.94348,0.96087,0.72582,0.90048,0.63696,0.80873,0.00126676,0.00126676,0.00126676
3,726.311,0.98837,0.59291,0.83223,0.96228,0.9442,0.96844,0.75758,0.81412,0.50093,0.80387,0.00180146,0.00180146,0.00180146
4,950.477,0.92637,0.53935,0.82207,0.96755,0.96402,0.97849,0.78548,0.76916,0.45217,0.79166,0.001703,0.001703,0.001703
5,1171.57,0.87628,0.50355,0.81687,0.96828,0.95081,0.97563,0.7863,0.73656,0.46609,0.79086,0.001604,0.001604,0.001604
6,1390.21,0.83457,0.4789,0.81472,0.96755,0.96312,0.97895,0.80313,0.69856,0.42237,0.78626,0.001505,0.001505,0.001505
7,1608.64,0.80077,0.45809,0.8093,0.96544,0.96401,0.97491,0.78933,0.71564,0.41792,0.78868,0.001406,0.001406,0.001406
8,1825.86,0.77085,0.43841,0.8055,0.96885,0.95925,0.97801,0.81712,0.66329,0.3924,0.7821,0.001307,0.001307,0.001307
9,2044.88,0.75373,0.42842,0.80359,0.96538,0.96696,0.98046,0.82787,0.64689,0.37617,0.78216,0.001208,0.001208,0.001208
10,2262.64,0.74053,0.41746,0.80266,0.97057,0.96853,0.98186,0.82974,0.62171,0.36017,0.77987,0.001109,0.001109,0.001109
11,2516.74,0.72589,0.41714,0.80383,0.96474,0.96843,0.98019,0.8235,0.65507,0.38454,0.78355,0.00101,0.00101,0.00101
12,2741.57,0.69504,0.40165,0.79686,0.97662,0.95888,0.97802,0.82387,0.641,0.37146,0.78213,0.000911,0.000911,0.000911
13,2962.94,0.6831,0.38718,0.79766,0.97116,0.9699,0.97892,0.82786,0.63807,0.35675,0.78231,0.000812,0.000812,0.000812
14,3188.31,0.66485,0.37806,0.79603,0.96572,0.96916,0.98012,0.83657,0.61699,0.34484,0.77808,0.000713,0.000713,0.000713
15,3404.41,0.65044,0.37142,0.79564,0.97393,0.96329,0.97929,0.842,0.58316,0.33959,0.77657,0.000614,0.000614,0.000614
16,3614.48,0.63111,0.35919,0.79182,0.97621,0.96423,0.98267,0.84654,0.58559,0.33212,0.77666,0.000515,0.000515,0.000515
17,3822.71,0.62198,0.3548,0.7923,0.9748,0.96402,0.98229,0.84511,0.58809,0.33057,0.77541,0.000416,0.000416,0.000416
18,4028.64,0.60181,0.33844,0.7911,0.97342,0.96788,0.98149,0.85048,0.57424,0.32487,0.77487,0.000317,0.000317,0.000317
19,4236.22,0.58573,0.33093,0.78668,0.97415,0.96848,0.98178,0.85314,0.56345,0.31661,0.77459,0.000218,0.000218,0.000218
20,4445.8,0.5693,0.31995,0.79083,0.97415,0.96852,0.98056,0.85318,0.56572,0.31465,0.77456,0.000119,0.000119,0.000119
